,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
56,3611,1284,0,0,1043,117,140,453,414,7871,1366,791,1258,0,2832,0,2176,1183,1,1725,1359,250,550,213,1581,3496,987,302,1565,380,330,1647,0,1407,827,947,530,1434,667,406,0,1977,1919,584,678,4064,1,1972,204,3274,5477,615,0,514,1745,0,0,793,0,4715,386,0,0,87688,3009,0,4055,849,986,1572,0,1440,1932,0,2441
57,6688,2365,0,7,414,1534,3654,655,6384,27704,1372,695,2066,0,13174,225,1823,454,1358,12416,3873,177,0,354,2596,5331,1447,378,3034,260,294,5496,0,3896,1894,16127,2133,3564,645,711,0,9349,1044,1736,3639,11684,5168,8866,585,8381,10795,5410,0,1307,3852,0,0,2002,0,14015,1633,0,0,165441,5043,3,23348,1071,3477,4316,0,2639,692,0,3533
58,16277,5073,0,117,4127,953,1656,1270,1249,16966,3698,0,959,0,8740,0,2812,17006,0,822,6713,1051,1,753,3658,9586,3162,1624,5195,954,322,1410,1,3490,3098,0,1964,2822,54,4301,0,4259,6353,1495,2902,12803,820,173,255,12452,23360,2939,0,4680,21488,0,0,2278,1,13404,1835,1,761,101438,6167,0,14937,3521,5998,2783,0,5877,223,0,7503
59,13177,4309,1,1260,2,2331,5559,3155,3185,9866,2932,0,690,0,17043,0,3116,19386,232,11419,11634,712,0,734,3329,12793,2541,1709,9356,1387,913,9204,0,5918,7408,33498,3128,1886,0,2267,0,4957,6361,2089,3405,11499,4726,8750,1918,20187,31688,3730,0,1,10823,0,0,3181,0,19780,2086,0,0,790968,9671,0,14007,4923,9574,3988,0,5759,1931,0,10550
60,16810,4839,0,1111,3469,2091,1692,1442,3763,22660,5491,0,2010,0,15956,0,3957,48,204,0,11235,1131,6085,715,5428,27530,0,1548,15707,3697,998,4170,0,5456,33,1,3370,653,3741,1054,0,8304,3563,4176,6047,17213,6798,309,454,19445,33727,3767,0,2807,8184,0,0,7115,0,17167,3337,0,0,394936,8353,0,20730,7815,6901,4467,0,3749,1128,0,6775
61,774,438,0,59,230,515,273,230,488,3660,487,6,184,0,2502,0,901,38,1,224,1840,294,1,140,1751,2198,33,571,1339,235,45,319,0,940,234,15,204,427,4,237,0,907,102,48,368,1912,108,9,1,1465,2847,369,0,0,2858,0,0,1074,1,4256,2,0,0,14963,446,195,771,651,459,1298,2,1466,470,0,164
62,9588,2533,65,0,791,2807,878,381,3304,13220,4708,15,2241,209,7503,0,2117,1150,896,2119,1809,282,116,254,1277,2149,690,672,1922,259,63,1514,188,2397,2329,479,674,1399,186,1232,1,4024,2653,966,3087,4476,1374,125,56,8131,14877,1028,0,526,7216,1,0,1845,1,6441,312,1,119,156648,1509,109,4358,3669,6727,4222,2,5228,1486,0,2366
63,353,97,0,2,447,157,272,126,227,1817,505,0,476,0,1120,0,78,587,7,82,1260,289,110,284,1438,2339,298,608,1901,129,63,174,0,135,118,0,477,123,47,8,0,362,437,61,331,927,305,60,9,305,1535,190,0,166,638,1746,4,713,3,1215,75,2,329,12240,228,179,781,426,710,374,3,1294,0,2,312
64,801,120,0,252,725,228,47,142,1210,3982,615,0,96,0,1311,101,125,5,47,109,1574,176,93,312,1338,2036,185,277,1246,284,120,168,0,222,128,383,152,224,10,6,0,1063,757,315,149,1875,293,105,46,1604,1953,637,0,147,2417,1,0,326,6,2321,28,0,1,7158,66,2,157,148,341,734,12,289,1,0,157
65,1139,285,0,110,755,821,265,95,255,2211,977,0,243,0,1721,0,777,1,12,1554,1092,71,49,87,681,2584,513,436,942,362,154,464,0,305,187,2287,103,301,173,2,0,1322,275,113,147,1017,225,1547,184,1574,1789,319,0,0,2333,0,0,225,1,2328,351,0,0,61110,193,0,819,874,228,300,0,1275,462,0,401
