,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
58,2323,1221,1,69,1466,2973,1931,9625,246,0,1508,414,0,0,5156,0,873,278,10028,0,3,2847,2005,678,2938,419,1849,1661,0,1695,4296,5977,422,651,535,1736,0,589,1039,654,3776,948,6446,1486,4779,1535,2469,5691,0,81,8147,1,0,0,461,389,2,12184,661,0,648,126,552479,0,887,0,957,7903,5335,1048,3857,596,0,785,1,2140,407,0,1041
59,3063,993,0,726,1043,1167,684,4372,733,296,1238,169,247,0,4764,2,557,147,443,0,107,4042,1536,665,1731,180,1270,1005,0,1272,1104,6117,399,874,151,502,156,432,570,92,1417,918,4162,734,3092,0,786,3877,0,284,5927,0,0,0,1404,452,3,6562,526,0,82,127,138329,14,431,147,675,2886,1185,1584,1309,708,0,1154,0,1996,1340,0,1262
60,5506,3529,0,707,300,4644,3013,20555,2038,708,2631,2123,1,0,12427,0,3889,292,1534,0,296,1465,2770,3181,7217,1045,3943,3726,1,3563,3810,2789,1643,1966,591,2103,0,1334,787,1080,6579,1947,11834,4473,3583,3207,9305,13365,0,429,20828,0,1,0,2997,690,5,17940,2576,0,375,716,494446,23,3405,0,533,10553,6867,5517,6289,5664,0,4665,4,8807,907,0,8147
61,186,161,0,39,19,112,36,1280,142,72,164,39,1,0,241,15,306,0,155,0,68,122,293,226,289,80,292,148,0,345,84,0,88,124,75,23,0,398,188,60,150,77,760,255,47,0,336,1024,0,13,838,0,0,0,85,34,0,387,30,0,47,27,2006,0,142,0,48,263,110,114,206,96,11,288,0,197,72,0,176
62,1000,203,0,110,2,106,403,3860,510,14,593,242,0,0,1311,0,482,0,465,0,128,90,383,392,823,94,344,631,1,436,526,2,199,270,128,116,0,569,249,52,589,190,2523,489,104,38,1163,2110,1,115,1535,0,0,1,213,193,3,1619,70,3,49,21,43893,11,484,0,156,958,565,444,1645,230,0,1246,3,563,277,0,567
63,13832,5343,20,2964,747,3353,3018,22192,4312,152,4148,2295,89,0,14370,0,7327,98,6622,66,83,3355,4685,2607,11045,1686,4059,4393,0,5221,4304,5919,1241,4189,1222,292,2,2252,2827,1334,5588,4237,14397,4886,5227,1094,5571,14856,0,3639,12715,0,0,0,2762,1894,1,30073,2312,0,1058,178,1457211,158,5032,199,2707,21822,4408,2404,6528,2667,21,3751,0,2258,1988,10,13267
64,1249,479,0,91,296,250,469,3818,621,51,519,261,0,0,1478,0,326,20,336,0,320,725,404,493,856,97,523,716,0,349,272,2843,164,188,127,33,0,945,327,15,697,343,935,619,619,107,484,1754,0,127,2897,0,0,0,597,200,0,1751,74,0,0,19,41850,64,1128,0,82,1334,167,224,606,715,0,710,0,1033,364,0,621
65,1770,1523,0,2020,3081,2822,443,17403,1592,0,2009,1334,220,0,11078,1,434,69,6207,0,178,1820,3001,1458,6067,1496,2712,4213,6,1282,3796,777,297,1019,900,366,0,2449,2074,1359,1617,1549,13783,2738,669,578,2728,8949,0,621,10540,0,0,0,1180,259,0,11434,1420,0,0,791,339785,5,631,152,806,13450,1427,1910,5802,5644,0,1745,0,3667,1754,0,6238
66,795,345,0,87,83,15,180,2276,107,85,221,212,26,0,674,0,300,0,256,0,184,1170,404,271,525,134,400,547,0,422,233,2387,67,137,82,11,0,262,219,8,199,275,687,193,601,40,262,400,1,73,1145,1,0,0,632,13,1,1346,51,0,23,27,17059,0,645,32,183,912,167,204,112,649,0,232,0,525,118,0,448
67,1273,264,0,379,281,325,42,2034,851,53,0,446,0,0,1278,1,438,0,43,38,125,461,799,340,856,78,483,334,0,99,315,10,408,69,0,227,0,620,274,33,195,308,1047,563,71,37,1182,2158,1,111,2125,67,0,1,413,11,1,521,35,0,38,64,60111,69,486,7,0,1128,348,757,414,101,0,1054,1,2154,99,1,333
